a_o,per_odo,c_digo_programa,programa,metodologia,cantidad_matriculados,hombres,mujeres,comuna_1,comuna_2,comuna_3,comuna_4,comuna_5,comuna_6,comuna_7,comuna_8,comuna_9,comuna_10,comuna_11,comuna_12,comuna_13,comuna_14,comuna_15,comuna_16,corregimientos,otros_municipios,recibieron_apoyos_financieros,recibieron_apoyos_acad_micos
2018,2,102329,TECNOLOGÍA EN GESTIÓN COMUNITARIA,Presencial,279,80,199,23,19,25,20,11,28,25,13,28,2,0,1,28,0,1,2,44,9,36,122
2018,2,105436,TECNOLOGIA EN GESTIÓN DE SERVICIOS GASTRONÓMICOS,Presencial,504,217,287,46,20,55,23,34,61,70,24,29,1,5,8,35,0,2,6,34,51,165,206
2018,2,106303,TECNOLOGÍA EN GESTIÓN TURÍSTICA,Virtual,98,32,66,10,5,4,1,0,4,15,7,4,0,0,1,5,0,0,0,10,32,2,27
2019,1,3205,ADMINISTRACION DE EMPRESAS TURISTICAS,Presencial,446,112,334,11,7,34,40,11,29,66,7,21,6,7,17,23,1,1,36,25,104,146,68
2019,1,101313,ARQUITECTURA,Presencial,503,281,222,9,9,29,24,26,18,57,18,40,12,8,15,26,2,4,25,22,159,157,57
2019,1,1725,BACTERIOLOGIA Y LABORATORIO CLINICO,Presencial,310,64,246,8,7,12,15,19,20,27,9,21,7,2,6,14,0,6,17,10,110,109,26
2019,1,17498,BIOTECNOLOGÍA,Presencial,155,47,108,6,1,5,11,10,5,25,5,9,0,2,3,4,0,0,8,5,56,55,47
2019,1,6644,CONSTRUCCIONES CIVILES,Presencial,631,418,213,26,15,30,34,26,35,71,25,27,10,4,13,42,0,10,21,40,202,148,162
2019,1,53935,ESPECIALIZACIÓN EN CONSTRUCCIÓN SOSTENIBLE,Presencial,16,10,6,0,0,0,0,1,1,0,0,3,0,2,2,0,0,0,2,1,4,16,0
2019,1,105850,ESPECIALIZACIÓN EN GESTIÓN DEL RIESGO DE DESASTRES,Presencial,11,4,7,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,3,0,3,9,0
2019,1,106174,ESPECIALIZACIÓN EN PLANEACIÓN URBANA,Virtual,25,12,13,0,0,1,0,1,1,1,1,3,1,0,0,1,1,0,2,1,11,11,0
2019,1,54263,INGENIERIA AMBIENTAL,Presencial,583,191,392,19,17,31,23,37,26,69,15,40,11,2,7,30,1,5,15,32,203,234,265
2019,1,106264,INGENIERÍA COMERCIAL,Presencial,70,37,33,2,2,3,6,3,9,16,2,3,0,0,1,3,0,1,4,5,10,5,37
2019,1,3707,PLANEACION Y DESARROLLO SOCIAL,Presencial,534,172,362,36,21,32,36,23,48,86,8,33,5,6,16,29,1,4,26,57,67,89,12
2019,1,106771,PROFESIONAL EN GASTRONOMÍA Y CULINARIA,Presencial,66,38,28,5,0,3,1,3,4,12,2,9,0,2,1,4,0,2,2,4,12,16,0
2019,1,1724,TECNOLOGIA EN DELINEANTE DE ARQUITECTURA E INGENIERIA,Presencial,515,283,232,42,21,39,34,29,34,71,36,31,5,2,9,25,1,4,20,36,76,83,90
2019,1,53915,TECNOLOGIA EN GASTRONOMIA,Presencial,14,9,5,1,0,2,0,0,0,0,0,3,1,0,1,0,0,0,0,0,6,1,0
2019,1,106102,TECNOLOGÍA EN GESTIÓN AMBIENTAL,Virtual,245,86,159,19,6,12,12,18,14,21,10,17,0,0,1,19,0,0,2,30,64,5,10
2019,1,106176,TECNOLOGÍA EN GESTIÓN CATASTRAL,Presencial,138,49,89,13,4,8,19,2,4,22,11,1,1,0,0,17,0,0,2,30,4,94,40
2019,1,102329,TECNOLOGÍA EN GESTIÓN COMUNITARIA,Presencial,340,77,263,35,26,26,23,23,39,36,20,17,2,0,2,36,0,0,3,43,9,35,29
2019,1,105436,TECNOLOGIA EN GESTIÓN DE SERVICIOS GASTRONÓMICOS,Presencial,647,290,357,54,27,70,31,39,69,104,33,44,1,5,12,51,0,2,10,40,55,185,34
2019,1,53431,TECNOLOGÍA EN GESTIÓN TURÍSTICA,Virtual,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019,1,106303,TECNOLOGIA EN GESTION TURISTICA (VIRTUAL),Virtual,147,43,104,8,6,10,5,4,5,16,7,34,0,0,1,9,0,0,0,11,31,0,0
2019,1,107468,TECNOLOGIA EN SEGURIDAD Y SALUD EN EL TRABAJO,Presencial,74,17,57,10,7,7,7,1,6,13,7,3,0,0,0,4,0,0,0,9,0,23,30
2019,2,3205,ADMINISTRACION DE EMPRESAS TURISTICAS,Presencial,412,102,310,9,5,32,35,13,22,57,6,20,4,5,12,25,2,1,39,27,98,202,118
2019,2,101313,ARQUITECTURA,Presencial,508,281,227,13,10,26,29,23,18,59,20,40,12,8,13,27,2,5,25,19,159,234,60
2019,2,1725,BACTERIOLOGIA Y LABORATORIO CLINICO,Presencial,319,68,251,9,6,14,19,21,22,29,8,20,5,2,6,12,,9,16,12,109,169,68
2019,2,17498,BIOTECNOLOGIA,Presencial,162,51,111,8,2,5,10,10,3,24,5,8,1,2,5,5,,1,10,6,57,92,70
2019,2,6644,CONSTRUCCIONES CIVILES,Presencial,622,398,224,31,17,29,42,24,30,72,22,26,7,4,14,33,,8,29,40,194,267,167
2019,2,53935,ESPECIALIZACION EN CONSTRUCCION SOSTENIBLE,Presencial,16,10,6,,0,0,0,1,1,0,0,3,0,2,2,0,0,0,2,1,4,15,0
2019,2,105850,ESPECIALIZACIÓN EN GESTIÓN DEL RIESGO DE DESASTRES,Presencial,12,5,7,0,0,0,0,0,0,2,1,1,0,1,1,0,0,0,3,0,3,10,0
2019,2,106174,ESPECIALIZACIÓN EN PLANEACIÓN URBANA,Virtual,16,8,8,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,10,10,1
2019,2,54263,INGENIERIA AMBIENTAL,Presencial,573,198,375,17,16,29,21,36,30,72,17,38,10,3,8,27,1,5,15,31,197,371,246
2019,2,106264,INGENIERIA COMERCIAL,Presencial,71,30,41,5,2,6,4,4,8,15,2,4,0,0,2,2,0,1,3,4,9,43,52
2019,2,3707,PLANEACION Y DESARROLLO SOCIAL,Presencial,532,167,365,43,21,31,36,22,46,89,9,33,3,6,15,28,1,5,21,56,67,266,69
2019,2,106771,PROFESIONAL EN GASTRONOMÍA Y CULINARIA,Presencial,87,50,37,3,1,5,7,5,6,11,2,10,1,2,3,5,0,3,3,4,16,51,27
2019,2,1724,TECNOLOGIA EN DELINEANTE DE ARQUITECTURA E INGENIERIA,Presencial,491,256,235,35,18,40,40,25,40,66,31,30,4,3,7,25,0,4,14,33,76,189,137
2019,2,53915,TECNOLOGIA EN GASTRONOMIA,Presencial,6,5,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,1,0
2019,2,106102,TECNOLOGIA EN GESTION AMBIENTAL,Virtual,272,98,174,27,7,13,16,17,11,24,14,17,1,0,1,21,0,1,3,38,61,10,4
2019,2,106176,TECNOLOGÍA EN GESTIÓN CATASTRAL,Presencial,168,62,106,21,5,10,16,4,6,26,12,9,1,0,0,17,0,0,2,32,7,130,74
2019,2,102329,TECNOLOGIA EN GESTION COMUNITARIA,Presencial,496,110,386,59,30,34,33,26,45,58,34,33,2,0,2,53,0,0,3,71,13,161,190
2019,2,105436,TECNOLOGIA EN GESTIÓN DE SERVICIOS GASTRONOMICOS,Presencial,694,318,376,60,32,76,32,37,69,111,39,48,1,6,12,61,0,1,12,49,48,276,189
2019,2,106303,TECNOLOGIA EN GESTION TURISTICA (VIRTUAL),Virtual,162,45,117,13,6,11,8,5,6,25,5,23,0,0,2,17,0,0,0,14,27,8,12
2019,2,107468,TECNOLOGIA EN SEGURIDAD Y SALUD EN EL TRABAJO,Presencial,118,26,92,16,8,14,6,7,12,25,10,5,0,0,0,8,0,0,0,7,0,66,90
2022,1,101313,ARQUITECTURA,Presencial,485,263,222,14,9,22,36,29,20,64,21,39,7,4,11,36,3,5,25,15,125,179,211
2022,1,1725,BACTERIOLOGIA Y LABORATORIO CLINICO,Presencial,394,84,310,11,7,27,19,14,32,38,11,23,4,5,5,18,1,6,19,18,136,211,145
2022,1,17498,BIOTECNOLOGÍA,Presencial,219,72,147,9,6,7,11,12,13,27,5,9,2,4,6,13,1,3,15,10,66,95,97
2022,1,6644,CONSTRUCCIONES CIVILES,Presencial,505,327,178,27,12,20,33,18,36,60,26,35,5,2,9,45,2,9,24,34,108,203,171
2022,1,53935,ESPECIALIZACIÓN EN CONSTRUCCIÓN SOSTENIBLE,Presencial,18,11,7,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,2,0,11,14,4
2022,1,105850,ESPECIALIZACIÓN EN GESTIÓN DEL RIESGO DE DESASTRES,Presencial,14,7,7,0,0,0,0,0,1,0,0,2,0,1,0,0,2,0,1,0,7,10,0
2022,1,106174,ESPECIALIZACIÓN EN PLANEACIÓN URBANA,Virtual,15,10,5,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,11,9,2
2022,1,54263,INGENIERIA AMBIENTAL,Presencial,461,140,321,20,9,25,30,30,36,44,14,34,5,3,9,35,1,2,23,30,111,232,271
2022,1,106264,INGENIERÍA COMERCIAL,Presencial,161,73,88,12,4,10,9,5,14,26,5,16,2,0,5,13,0,1,7,7,25,57,92
2022,1,3707,PLANEACION Y DESARROLLO SOCIAL,Presencial,574,195,379,89,20,31,54,21,61,85,10,40,2,4,13,45,1,6,17,44,31,238,99
2022,1,106771,PROFESIONAL EN GASTRONOMÍA Y CULINARIA,Presencial,211,111,100,9,5,11,18,10,16,22,3,17,1,3,7,20,1,4,16,13,35,87,70
2022,1,1724,TECNOLOGIA EN DELINEANTE DE ARQUITECTURA E INGENIERIA,Presencial,335,148,187,16,16,28,21,23,22,54,18,16,4,3,6,22,0,7,12,22,45,115,123
2022,1,53915,TECNOLOGIA EN GASTRONOMIA,Presencial,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,24,0,0
2022,1,106102,TECNOLOGÍA EN GESTIÓN AMBIENTAL,Virtual,166,69,97,15,9,8,9,4,11,24,11,11,1,0,1,11,0,2,4,21,7,15,30
2022,1,106176,TECNOLOGÍA EN GESTIÓN CATASTRAL,Presencial,133,51,82,11,6,8,5,8,10,24,11,9,1,0,3,11,0,1,4,14,7,43,68
2022,1,102329,TECNOLOGÍA EN GESTIÓN COMUNITARIA,Presencial,359,77,282,54,14,25,21,20,37,39,28,21,2,2,1,32,0,3,4,49,35,87,80
2022,1,105436,TECNOLOGIA EN GESTIÓN DE SERVICIOS GASTRONÓMICOS,Presencial,403,193,210,15,15,35,23,28,37,58,22,33,1,3,5,39,1,3,11,39,43,104,137
2022,1,106303,TECNOLOGIA EN GESTION TURISTICA (VIRTUAL),Virtual,171,35,136,17,10,8,7,8,11,17,7,13,0,0,2,12,0,1,3,12,7,14,32
2022,1,107468,TECNOLOGIA EN SEGURIDAD Y SALUD EN EL TRABAJO,Presencial,220,32,188,28,13,18,14,15,34,36,9,10,0,1,3,14,0,2,5,11,0,98,118
2022,2,3205,ADMINISTRACION DE EMPRESAS TURISTICAS,Presencial,369,106,263,15,14,21,33,15,24,51,12,16,2,2,6,36,2,8,35,25,52,155,171
2022,2,101313,ARQUITECTURA,Presencial,487,260,227,16,10,19,34,28,19,68,19,37,7,4,10,37,1,4,26,18,130,146,148
2022,2,1725,BACTERIOLOGIA Y LABORATORIO CLINICO,Presencial,386,92,294,12,5,26,17,14,29,41,8,23,3,5,4,19,1,5,18,16,140,156,100
2022,2,17498,BIOTECNOLOGÍA,Presencial,221,69,152,6,10,8,11,14,13,22,9,7,3,2,6,14,0,4,13,7,72,99,117
2022,2,6644,CONSTRUCCIONES CIVILES,Presencial,481,311,170,27,13,24,29,17,36,57,25,32,4,2,8,41,2,6,22,34,102,146,172
2022,2,53935,ESPECIALIZACIÓN EN CONSTRUCCIÓN SOSTENIBLE,Presencial,19,12,7,0,0,0,0,1,0,2,0,1,0,1,1,0,0,0,2,0,11,14,0
2022,2,105850,ESPECIALIZACIÓN EN GESTIÓN DEL RIESGO DE DESASTRES,Presencial,16,8,8,0,0,0,0,0,1,0,0,2,0,1,0,0,2,0,1,0,9,14,0
2022,2,106174,ESPECIALIZACIÓN EN PLANEACIÓN URBANA,Virtual,15,10,5,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,11,14,0
2022,2,54263,INGENIERIA AMBIENTAL,Presencial,435,139,296,19,7,19,30,34,34,43,16,24,4,1,10,33,1,3,26,30,101,199,282
2022,2,106264,INGENIERÍA COMERCIAL,Presencial,165,78,87,11,4,9,10,5,13,26,4,12,2,0,5,16,0,4,8,7,29,44,45
2022,2,3707,PLANEACION Y DESARROLLO SOCIAL,Presencial,543,187,356,80,18,30,52,19,58,77,9,42,1,4,12,45,1,6,18,38,33,191,125
2022,2,106771,PROFESIONAL EN GASTRONOMÍA Y CULINARIA,Presencial,245,141,104,10,9,12,21,12,16,25,8,17,1,2,8,23,1,4,16,14,46,62,39
2022,2,1724,TECNOLOGIA EN DELINEANTE DE ARQUITECTURA E INGENIERIA,Presencial,306,145,161,10,11,23,16,21,20,50,12,16,5,3,4,23,0,7,8,29,48,118,117
2022,2,106102,TECNOLOGÍA EN GESTIÓN AMBIENTAL,Virtual,130,60,70,9,8,5,6,3,9,19,7,10,1,0,1,7,0,0,2,18,25,32,18
2022,2,106176,TECNOLOGÍA EN GESTIÓN CATASTRAL,Presencial,132,50,82,12,4,7,9,7,11,25,10,9,1,0,2,8,0,1,3,13,10,51,63
2022,2,102329,TECNOLOGÍA EN GESTIÓN COMUNITARIA,Presencial,257,60,197,32,12,28,13,13,38,28,15,17,2,0,1,19,0,3,3,28,5,101,53
2022,2,105436,TECNOLOGIA EN GESTIÓN DE SERVICIOS GASTRONÓMICOS,Presencial,392,193,199,12,11,26,20,28,70,50,15,26,2,0,3,34,1,4,12,34,44,122,93
2022,2,106303,TECNOLOGIA EN GESTION TURISTICA (VIRTUAL),Virtual,134,24,110,15,8,3,5,6,9,13,5,13,1,0,2,7,0,1,2,8,36,25,45
2022,2,107468,TECNOLOGIA EN SEGURIDAD Y SALUD EN EL TRABAJO,Presencial,259,46,213,24,12,15,17,22,73,32,9,8,1,1,4,12,0,2,4,13,10,101,89
2023,1,3205,ADMINISTRACION DE EMPRESAS TURISTICAS,Presencial,371,100,271,17,13,29,34,16,21,46,15,14,2,1,4,33,3,8,34,26,55,251,186
2023,1,101313,ARQUITECTURA,Presencial,457,235,222,14,10,18,28,29,19,59,19,33,8,3,10,34,2,2,23,18,128,215,190
2023,1,1725,BACTERIOLOGIA Y LABORATORIO CLINICO,Presencial,389,86,303,11,5,28,19,15,26,48,8,22,4,3,5,19,1,6,17,18,134,225,113
2023,1,17498,BIOTECNOLOGÍA,Presencial,231,77,154,4,10,10,11,15,13,24,7,6,2,2,5,15,0,5,15,10,77,134,130
2023,1,6644,CONSTRUCCIONES CIVILES,Presencial,467,305,162,24,13,23,22,23,36,67,26,26,4,1,9,38,1,7,18,35,94,194,178
2023,1,53935,ESPECIALIZACIÓN EN CONSTRUCCIÓN SOSTENIBLE,Presencial,16,10,6,0,0,0,1,1,0,1,0,0,2,0,1,0,0,0,0,0,10,13,0
2023,1,105850,ESPECIALIZACIÓN EN GESTIÓN DEL RIESGO DE DESASTRES,Presencial,26,11,15,0,0,0,0,1,0,4,0,0,2,1,2,1,2,0,2,0,11,23,0
2023,1,106174,ESPECIALIZACIÓN EN PLANEACIÓN URBANA,Virtual,23,10,13,1,0,0,0,0,1,2,0,2,0,0,1,0,0,0,1,1,14,19,0
2023,1,54263,INGENIERIA AMBIENTAL,Presencial,410,134,276,19,8,24,26,28,27,41,14,25,3,1,11,34,0,2,25,31,91,255,239
2023,1,106264,INGENIERÍA COMERCIAL,Presencial,179,83,96,12,5,9,12,7,12,26,3,16,3,0,5,19,0,5,7,8,30,116,77
2023,1,3707,PLANEACION Y DESARROLLO SOCIAL,Presencial,536,195,341,74,16,38,51,16,54,73,13,40,0,4,8,47,1,4,22,41,34,340,54
2023,1,106771,PROFESIONAL EN GASTRONOMÍA Y CULINARIA,Presencial,275,161,114,7,10,17,19,18,17,30,13,17,1,4,8,24,1,3,18,19,49,166,91
2023,1,1724,TECNOLOGIA EN DELINEANTE DE ARQUITECTURA E INGENIERIA,Presencial,291,140,151,7,14,27,15,15,24,46,12,12,4,3,5,17,0,7,14,18,51,158,105
2023,1,106102,TECNOLOGÍA EN GESTIÓN AMBIENTAL,Virtual,148,55,93,9,5,6,4,3,8,15,6,9,1,0,0,7,0,0,3,16,56,49,41
2023,1,106176,TECNOLOGÍA EN GESTIÓN CATASTRAL,Presencial,160,68,92,9,7,7,8,12,13,28,12,11,2,0,1,12,0,1,7,16,14,84,76
2023,1,102329,TECNOLOGÍA EN GESTIÓN COMUNITARIA,Presencial,212,60,152,35,9,27,13,7,23,22,10,10,1,0,1,27,0,3,2,18,4,121,43
2023,1,105436,TECNOLOGIA EN GESTIÓN DE SERVICIOS GASTRONÓMICOS,Presencial,327,170,157,8,8,27,13,24,44,47,13,23,2,0,5,25,1,5,11,33,38,177,117
2023,1,106303,TECNOLOGIA EN GESTION TURISTICA (VIRTUAL),Virtual,129,21,108,14,9,4,5,2,10,8,7,10,,0,1,7,0,0,3,3,46,32,30
2023,1,107468,TECNOLOGIA EN SEGURIDAD Y SALUD EN EL TRABAJO,Presencial,228,36,192,23,12,8,16,20,45,29,8,9,1,1,5,11,0,3,7,14,16,156,84
